peptaloid_id,coconut_id,npatlas_id,supernatural_id,zinc_id,InChIKey,Compound_InChI,smiles,MolecularFormula,IUPAC Name,Compound Name,origin_type,genus,origin_species,carbon_count,SlogP,TPSA,Exact_MW,Num_Rotatable_Bonds,Num_HBD,Num_HBA,Num_Amide_Bonds,Num_Hetero_Atoms,Num_Heavy_Atoms,Num_Atoms,Num_StereoCenters,Num_Aromatic_Rings,Num_Saturated_Rings,Num_Aliphatic_Rings,CX_LogP,CX_LogD,Heavy_Atoms,Lipinski,total_charge,qed_score,Alcohol,Aldehyde,Ketone,Carboxylic Acid,Amine,Thiol
PT001209,CNP0009369,,SN0011024,ZINC000012360186,AOKWMDZCDBTLBY-UHFFFAOYSA-N,"InChI=1S/C22H20BrN3O4/c23-15-4-3-5-16(12-15)24-20(27)14-26-19-7-2-1-6-17(19)18(13-21(26)28)22(29)25-8-10-30-11-9-25/h1-7,12-13H,8-11,14H2,(H,24,27)",O=C1C=C(C(=O)N2CCOCC2)C=3C=CC=CC3N1CC(=O)NC=4C=CC=C(Br)C4,C22H20BrN3O4,N-(3-bromophenyl)-2-[4-(morpholine-4-carbonyl)-2-oxoquinolin-1-yl]acetamide,STK410614,,,,22,2.8751,80.64,469.06371822,4,1,5,2,8,30,30,0,3,1,1,2.8751,2.8751,30,4,0,0.636299281547837,0,0,3,0,1,0
PT001210,CNP0009371,,SN0011026,,AOKYZSLJEULWJU-UHFFFAOYSA-N,"InChI=1S/C46H80N16O23/c47-13-1-3-15-49-37(71)29(11-6-18-60(83)25-67)54-41(75)31(21-63)56-43(77)33(35(69)45(79)80)58-39(73)27(51-23-65)9-5-17-53-62(85)20-8-10-28(52-24-66)40(74)59-34(36(70)46(81)82)44(78)57-32(22-64)42(76)55-30(12-7-19-61(84)26-68)38(72)50-16-4-2-14-48/h23-36,63-64,69-70,83-84H,1-22,47-48H2,(H,49,71)(H,50,72)(H,51,65)(H,52,66)(H,54,75)(H,55,76)(H,56,77)(H,57,78)(H,58,73)(H,59,74)(H,79,80)(H,81,82)",O=CNC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCCCN)CCCN(O)C=O)CO)C(O)C(=O)O)CCCN=N(=O)CCCC(NC=O)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NCCCCN)CCCN(O)C=O)CO)C(O)C(=O)O,C46H80N16O23,[5-[[1-[[1-[[1-(4-aminobutylamino)-5-[formyl(hydroxy)amino]-1-oxopentan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-3-carboxy-3-hydroxy-1-oxopropan-2-yl]amino]-4-formamido-5-oxopentyl]-[5-[[1-[[1-[[1-(4-aminobutylamino)-5-[formyl(hydroxy)amino]-1-oxopentan-2-yl]amino]-3-hydroxy-1-oxopropan-2-yl]amino]-3-carboxy-3-hydroxy-1-oxopropan-2-yl]amino]-4-formamido-5-oxopentyl]imino-oxidoazanium,,,,,46,-10.5113,618.07,1224.55822282,50,20,24,12,39,85,85,10,0,0,0,-10.5113,-10.5113,85,1,0,0.0067151448794045,8,0,8,2,12,0
PT001211,CNP0009379,,,,AOLIHUXNAQHIOH-UHFFFAOYSA-O,"InChI=1S/C16H19BrN4O3/c1-18-8-14(22)19-10-4-5-21-13(7-10)15(23)20-12-3-2-9(17)6-11(12)16(21)24/h2-3,6,10,13,18H,4-5,7-8H2,1H3,(H,19,22)(H,20,23)/p+1",O=C(NC1CCN2C(=O)C3=CC(Br)=CC=C3NC(=O)C2C1)C[NH2+]C,C16H20BrN4O3+,"[2-[(2-bromo-6,12-dioxo-5,6a,7,8,9,10-hexahydropyrido[2,1-c][1,4]benzodiazepin-8-yl)amino]-2-oxoethyl]-methylazanium",,,,,16,-0.3162,95.12,395.07132902009,3,3,3,3,8,24,24,2,1,1,2,-0.3162,-0.3162,24,4,1,0.654049718108374,0,0,3,0,3,0
PT001212,CNP0009384,,SN0011039,,AOLKFYPQHQQOCD-UHFFFAOYSA-N,"InChI=1S/C18H32N2O2/c1-13(2)20-9-7-15-12-19(17(22)11-18(3,4)5)8-6-14(15)10-16(20)21/h13-15H,6-12H2,1-5H3",O=C(N1CCC2CC(=O)N(CCC2C1)C(C)C)CC(C)(C)C,C18H32N2O2,"2-(3,3-dimethylbutanoyl)-7-propan-2-yl-1,3,4,4a,5,8,9,9a-octahydropyrido[3,4-d]azepin-6-one",,,,,18,2.9181,40.62,308.246378264,2,0,2,2,4,22,22,2,0,2,2,2.9181,2.9181,22,4,0,0.78676620991865,0,0,2,0,0,0
PT001213,CNP0009397,,SN0011054,,AOLYQXOLVVQNEA-UHFFFAOYSA-N,"InChI=1S/C17H16ClFN6O5/c1-30-17(29)11-5-8(25-13(15(21)27)12(14(20)26)22-23-25)6-24(11)16(28)7-2-3-10(19)9(18)4-7/h2-4,8,11H,5-6H2,1H3,(H2,20,26)(H2,21,27)",O=C(N)C=1N=NN(C1C(=O)N)C2CN(C(=O)C3=CC=C(F)C(Cl)=C3)C(C(=O)OC)C2,C17H16ClFN6O5,"methyl 1-(3-chloro-4-fluorobenzoyl)-4-(4,5-dicarbamoyltriazol-1-yl)pyrrolidine-2-carboxylate",,,,,17,-0.1028,163.5,438.085473512,5,2,8,3,13,30,30,2,2,1,1,-0.1028,-0.1028,30,4,0,0.614894206039095,0,0,3,1,2,0
PT001214,CNP0009400,,SN0011057,,AOMBAVWVHIMTQF-UHFFFAOYSA-N,"InChI=1S/C18H22N4O4/c1-11-19-7-8-22(11)15-16(23)14(13-10-25-17(15)26-13)21-18(24)20-9-12-5-3-2-4-6-12/h2-8,13-17,23H,9-10H2,1H3,(H2,20,21,24)",O=C(NCC=1C=CC=CC1)NC2C(O)C(N3C=CN=C3C)C4OCC2O4,C18H22N4O4,"1-benzyl-3-[3-hydroxy-4-(2-methylimidazol-1-yl)-6,8-dioxabicyclo[3.2.1]octan-2-yl]urea",,,,,18,0.716619999999999,97.64,358.164105184,4,3,6,2,8,26,26,5,2,2,2,0.716619999999999,0.716619999999999,26,4,0,0.74810317249932,1,0,1,1,2,0
PT001215,CNP0009409,,SN0011069,,AOMOZIFWBLYOLJ-UHFFFAOYSA-N,"InChI=1S/C62H98N2O26/c1-25(2)18-29(70)19-26(3)31-11-12-32-30-10-13-39-60(6,7)40(15-17-62(39,9)33(30)14-16-61(31,32)8)88-59-53(47(75)38(24-82-59)87-55-41(63-27(4)68)48(76)43(71)34(20-65)83-55)89-56-42(64-28(5)69)49(77)46(74)37(86-56)23-81-58-54(51(79)45(73)36(22-67)85-58)90-57-52(80)50(78)44(72)35(21-66)84-57/h12,18,26,31,34-59,65-67,71-80H,10-11,13-17,19-24H2,1-9H3,(H,63,68)(H,64,69)",O=C(NC1C(O)C(O)C(OC1OC2COC(OC3CCC4(C5=C(C6=CCC(C(C)CC(=O)C=C(C)C)C6(C)CC5)CCC4C3(C)C)C)C(OC7OC(COC8OC(CO)C(O)C(O)C8OC9OC(CO)C(O)C(O)C9O)C(O)C(O)C7NC(=O)C)C2O)CO)C,C62H98N2O26,"N-[2-[5-[3-acetamido-6-[[4,5-dihydroxy-6-(hydroxymethyl)-3-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxymethyl]-4,5-dihydroxyoxan-2-yl]oxy-4-hydroxy-6-[[4,4,10,13-tetramethyl-17-(6-methyl-4-oxohept-5-en-2-yl)-1,2,3,5,6,7,11,12,16,17-decahydrocyclopenta[a]phenanthren-3-yl]oxy]oxan-3-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",,,,,62,-2.7642,430.56,1286.640781256,20,15,26,2,28,90,90,30,0,6,9,-2.7642,-2.7642,90,1,0,0.0549028872440941,13,0,3,5,2,0
PT001216,CNP0009412,,SN0011073,ZINC000012462970,AOMRFBUBFPUMQG-UHFFFAOYSA-N,"InChI=1S/C22H21N3O4/c1-14-7-6-10-20(23-14)25-22(27)16-8-4-5-9-17(16)24-21(26)15-11-12-18(28-2)19(13-15)29-3/h4-13H,1-3H3,(H,24,26)(H,23,25,27)",O=C(NC=1C=CC=CC1C(=O)NC=2N=C(C=CC2)C)C3=CC=C(OC)C(OC)=C3,C22H21N3O4,"3,4-dimethoxy-N-[2-[(6-methylpyridin-2-yl)carbamoyl]phenyl]benzamide","3,4-dimethoxy-N-{2-[(6-methylpyridin-2-yl)carbamoyl]phenyl}benzamide",,,,22,3.91182,89.55,391.153206152,6,2,5,2,7,29,29,0,3,0,0,3.91182,3.91182,29,4,0,0.664929036304585,0,0,4,0,2,0
PT002187,CNP0017521,,SN0020486,ZINC000225421309,BASIUHLLXFRGNN-UHFFFAOYSA-N,"InChI=1S/C21H30N4O3S/c1-4-24(5-2)14-19-23-18(15-29-19)21(27)10-12-25(13-11-21)20(26)22-16-6-8-17(28-3)9-7-16/h6-9,15,27H,4-5,10-14H2,1-3H3,(H,22,26)",O=C(NC1=CC=C(OC)C=C1)N2CCC(O)(C=3N=C(SC3)CN(CC)CC)CC2,C21H30N4O3S,"4-[2-(diethylaminomethyl)-1,3-thiazol-4-yl]-4-hydroxy-N-(4-methoxyphenyl)piperidine-1-carboxamide",,,,,21,3.509,77.93,418.20386182,7,2,6,2,8,29,29,0,2,1,1,3.509,3.509,29,4,0,0.719493545921028,1,0,3,0,1,0
PT002188,CNP0017523,,,,BASKMSALPGCWIZ-UHFFFAOYSA-N,"InChI=1S/C47H79N9O9/c1-4-32(2)40-44(62)52-35(27-28-48)42(60)54-37(31-39(58)59)46(64)65-33(3)41(45(63)53-36(43(61)56-40)30-34-24-20-19-21-25-34)55-38(57)26-22-17-15-13-11-9-7-5-6-8-10-12-14-16-18-23-29-51-47(49)50/h19-21,24-25,32-33,35-37,40-41H,4-18,22-23,26-31,48H2,1-3H3,(H,52,62)(H,53,63)(H,54,60)(H,55,57)(H,56,61)(H,58,59)(H4,49,50,51)",O=C(O)CC1NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CCCCCCCCCCCCCCCCCCNC(=N)N)C(OC1=O)C)CC=2C=CC=CC2)C(C)CC)CCN,C47H79N9O9,"2-[6-(2-aminoethyl)-12-benzyl-9-butan-2-yl-15-[19-(diaminomethylideneamino)nonadecanoylamino]-16-methyl-2,5,8,11,14-pentaoxo-1-oxa-4,7,10,13-tetrazacyclohexadec-3-yl]acetic acid",,,,,47,3.58277000000001,297.02,913.600075108,28,10,10,5,18,65,65,7,1,1,1,3.58277000000001,3.58277000000001,65,2,0,0.024989893709277,1,0,5,2,9,0
